ListingKey,ListingNumber,ListingCreationDate,CreditGrade,Term,LoanStatus,ClosedDate,BorrowerAPR,BorrowerRate,LenderYield,EstimatedEffectiveYield,EstimatedLoss,EstimatedReturn,ProsperRating (numeric),ProsperRating (Alpha),ProsperScore,ListingCategory (numeric),BorrowerState,Occupation,EmploymentStatus,EmploymentStatusDuration,IsBorrowerHomeowner,CurrentlyInGroup,GroupKey,DateCreditPulled,CreditScoreRangeLower,CreditScoreRangeUpper,FirstRecordedCreditLine,CurrentCreditLines,OpenCreditLines,TotalCreditLinespast7years,OpenRevolvingAccounts,OpenRevolvingMonthlyPayment,InquiriesLast6Months,TotalInquiries,CurrentDelinquencies,AmountDelinquent,DelinquenciesLast7Years,PublicRecordsLast10Years,PublicRecordsLast12Months,RevolvingCreditBalance,BankcardUtilization,AvailableBankcardCredit,TotalTrades,TradesNeverDelinquent (percentage),TradesOpenedLast6Months,DebtToIncomeRatio,IncomeRange,IncomeVerifiable,StatedMonthlyIncome,LoanKey,TotalProsperLoans,TotalProsperPaymentsBilled,OnTimeProsperPayments,ProsperPaymentsLessThanOneMonthLate,ProsperPaymentsOneMonthPlusLate,ProsperPrincipalBorrowed,ProsperPrincipalOutstanding,ScorexChangeAtTimeOfListing,LoanCurrentDaysDelinquent,LoanFirstDefaultedCycleNumber,LoanMonthsSinceOrigination,LoanNumber,LoanOriginalAmount,LoanOriginationDate,LoanOriginationQuarter,MemberKey,MonthlyLoanPayment,LP_CustomerPayments,LP_CustomerPrincipalPayments,LP_InterestandFees,LP_ServiceFees,LP_CollectionFees,LP_GrossPrincipalLoss,LP_NetPrincipalLoss,LP_NonPrincipalRecoverypayments,PercentFunded,Recommendations,InvestmentFromFriendsCount,InvestmentFromFriendsAmount,Investors
101735700321773921526BF,706927,2013-01-30 09:36:13.783000000,,36,Current,,0.35356,0.3134,0.3034,0.276,0.1575,0.1185,1.0,HR,2.0,1,NY,Other,Other,68.0,False,False,,2013-01-30 09:36:09,700.0,719.0,1988-03-01 00:00:00,9.0,9.0,18.0,8,617.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10050.0,0.4,4465.0,17.0,0.76,0.0,9.2,"$1-24,999",True,118.33333300000001,8D313674169912018750992,,,,,,,,,0,,13,84693,4000,2013-02-05 00:00:00,Q1 2013,E09A35706330259139A80F8,172.76,2073.12,951.0,1122.12,-35.8,0.0,0.0,0.0,0.0,1.0,0,0,0.0,94
2EA63382419173023274969,104542,2007-02-28 10:45:44.153000000,D,36,Completed,2009-07-07,0.11749000000000001,0.1,0.09,,,,,,,0,NY,Other,Full-time,9.0,True,True,E3F433654060844916DB34F,2007-02-28 10:31:56.417000000,600.0,619.0,1987-05-01 00:00:00,30.0,25.0,47.0,23,2866.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,152934.0,0.61,49014.0,43.0,0.95,4.0,10.01,Not displayed,False,0.083333,F04F33825997568993DA4EF,,,,,,,,,0,,84,8239,1000,2007-03-07 00:00:00,Q1 2007,0E243382750780180A98377,32.27,1100.96,1000.0,100.96,-10.1,0.0,0.0,0.0,0.0,1.0,0,0,0.0,16
3C18338635952151669AA4C,124494,2007-04-16 17:44:06.780000000,AA,36,Completed,2007-06-28,0.10505,0.0935,0.0885,,,,,,,0,NC,Homemaker,Retired,65.0,False,False,,2007-04-13 09:41:20.750000000,800.0,819.0,1993-06-17 00:00:00,9.0,9.0,13.0,11,42.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1772.0,0.04,36908.0,13.0,1.0,0.0,10.01,"$1-24,999",False,0.083333,C9C8338661456098557F895,,,,,,,,,0,,83,13269,1500,2007-04-25 00:00:00,Q2 2007,574C3374106242551D3C75E,47.94,1523.07,1500.0,23.07,-1.23,0.0,0.0,0.0,0.0,1.0,0,0,0.0,58
45C73538911628429AAB1CD,560943,2012-02-20 16:08:45.633000000,,36,Current,,0.35796999999999995,0.3177,0.3077,0.2896,0.165,0.1246,1.0,HR,4.0,1,MA,Other,Employed,51.0,False,False,,2012-02-20 16:08:40,700.0,719.0,1997-11-10 00:00:00,6.0,5.0,20.0,3,123.0,0.0,0.0,1.0,378.0,0.0,0.0,0.0,4445.0,0.47,4955.0,17.0,0.94,0.0,10.01,"$1-24,999",True,3.833333,3C8C3642811229468CC34A6,,,,,,,,,0,,25,60951,2000,2012-02-23 00:00:00,Q1 2012,D75735401761443824821A7,86.85,2084.4,1117.16,967.24,-30.44,0.0,0.0,0.0,0.0,1.0,0,0,0.0,5
029C3391969521662B80577,146341,2007-06-03 20:32:32.783000000,A,36,Completed,2010-05-25,0.11415,0.1072,0.0997,,,,,,,0,OH,Student - College Graduate Student,Not employed,8.0,False,True,CAC7336560237895229CE12,2007-06-03 12:35:02.360000000,740.0,759.0,2001-06-20 00:00:00,6.0,6.0,12.0,5,165.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5932.0,0.21,22118.0,9.0,1.0,0.0,10.01,Not employed,False,0.083333,3295339143184231977543F,,,,,,,,,0,,81,16053,3000,2007-06-15 00:00:00,Q2 2007,C4C33365996309580AFAC5C,97.82,3510.24,2999.98,510.26,-24.36,0.0,0.0,0.0,0.0,1.0,0,0,0.0,87
02803415966900900B282E0,294870,2008-03-17 19:28:44.040000000,HR,36,Completed,2011-03-21,0.14982,0.1284,0.1184,,,,,,,1,NY,Student - College Senior,Part-time,42.0,False,True,FB7E337608795605823EDCF,2008-03-01 17:46:31.877000000,520.0,539.0,2004-08-09 00:00:00,1.0,1.0,5.0,1,20.0,0.0,2.0,1.0,561.0,12.0,0.0,0.0,454.0,0.9,46.0,1.0,0.0,0.0,3.49,"$1-24,999",True,48.333333,EA7F34170169058597A9B9C,,,,,,,,,0,,72,28751,1450,2008-03-21 00:00:00,Q1 2008,085E3414289581697F4FC40,48.74,1755.57,1449.98,305.59,-23.79,0.0,0.0,0.0,0.0,1.0,0,0,0.0,15
02EF337006012144018CAD8,44986,2006-10-05 08:07:06.837000000,HR,36,Defaulted,2008-01-10,0.29775999999999997,0.29,0.285,,,,,,,0,CA,Teacher,Not available,,False,True,72043366788878145C82141,2006-09-25 13:14:16.710000000,480.0,499.0,1988-03-25 00:00:00,,,40.0,2,116.0,6.0,22.0,12.0,,20.0,1.0,,,,,,,,2.5,Not displayed,True,644.25,33B83371170720742F75FA6,,,,,,,,,1261,15.0,89,3813,3000,2006-10-11 00:00:00,Q4 2006,B79D33661688413217D4365,125.72,1171.76,235.21,936.55,-10.54,-1001.68,2764.8,1724.32,3165.39,1.0,0,0,0.0,1
02F1339019841280370DC32,139992,2007-05-19 11:14:54.370000000,A,36,Defaulted,2010-09-29,0.08684,0.08,0.065,,,,,,,0,FL,Other,Not employed,0.0,False,True,391B3374915150926C104CE,2007-05-13 15:43:42.477000000,740.0,759.0,1989-12-18 00:00:00,9.0,7.0,23.0,7,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2169.0,0.1,5882.0,11.0,1.0,0.0,10.01,Not employed,False,0.083333,A74D339158067776269A0AA,,,,,,,,,296,40.0,82,15514,3000,2007-05-30 00:00:00,Q2 2007,D3693389778269045DD2514,68.56,3362.3,2999.74,362.56,-23.86,-14.79,34.6,-34.34,32.62,1.0,1,1,750.0,19
732F3484285076748E7CCDE,458811,2010-05-17 17:43:25.340000000,,36,Completed,2013-05-25,0.09643,0.093,0.083,0.068,0.015,0.068,7.0,AA,8.0,1,NY,Sales - Commission,Full-time,11.0,True,False,,2010-05-17 17:43:22,840.0,859.0,1987-08-10 00:00:00,13.0,13.0,30.0,8,278.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4443.0,0.06,64707.0,27.0,0.96,1.0,10.01,"$100,000+",True,17083.333333000002,7648358919002751367B3F1,,,,,,,,,0,,46,42641,13500,2010-05-25 00:00:00,Q2 2010,71FA346644326745611F9C7,425.36,15528.3,13499.99,2028.31,-218.08,0.0,0.0,0.0,0.0,1.0,0,0,0.0,437
7FF33379485792378896C12,91476,2007-01-31 14:16:07.313000000,C,36,Completed,2009-12-29,0.16435999999999998,0.1572,0.1472,,,,,,,0,,Teacher,Not available,,False,True,C80D337515684920818AB06,2007-01-21 20:52:24.557000000,640.0,659.0,1996-08-20 00:00:00,,,27.0,12,864.0,1.0,1.0,0.0,,0.0,0.0,,,,,,,,10.01,Not displayed,False,0.083333,66A63381013272756BDA4F1,,,,,,,,,0,,85,7275,7000,2007-02-08 00:00:00,Q1 2007,ACA6337908641871121E5E5,245.13,8627.35,7000.0,1627.35,-53.46,0.0,0.0,0.0,0.0,1.0,0,0,0.0,179
